name,L,R
dBWM2,dBWML2,dBWMR2
dBWM3,dBWML3,dBWMR3
dBWM4,dBWML4,dBWMR4
dBWM5,dBWML5,dBWMR5
dBWM6,dBWML6,dBWMR6
dBWM7,dBWML7,dBWMR7
vBWM1,vBWML1,vBWMR1
vBWM2,vBWML2,vBWMR2
vBWM3,vBWML3,vBWMR3
vBWM4,vBWML4,vBWMR4
vBWM5,vBWML5,vBWMR5
vBWM6,vBWML6,vBWMR6
vBWM7,vBWML7,vBWMR7
dBWM8,dBWML8,dBWMR8
dBWM9,dBWML9,dBWMR9
dBWM10,dBWML10,dBWMR10
dBWM11,dBWML11,dBWMR11
dBWM12,dBWML12,dBWMR12
dBWM13,dBWML13,dBWMR13
dBWM14,dBWML14,dBWMR14
dBWM15,dBWML15,dBWMR15
dBWM16,dBWML16,dBWMR16
dBWM17,dBWML17,dBWMR17
dBWM18,dBWML18,dBWMR18
dBWM19,dBWML19,dBWMR19
dBWM20,dBWML20,dBWMR20
dBWM21,dBWML21,dBWMR21
dBWM22,dBWML22,dBWMR22
dBWM23,dBWML23,dBWMR23
dBWM24,dBWML24,dBWMR24
vBWM8,vBWML8,vBWMR8
vBWM9,vBWML9,vBWMR9
vBWM10,vBWML10,vBWMR10
vBWM11,vBWML11,vBWMR11
vBWM12,vBWML12,vBWMR12
vBWM13,vBWML13,vBWMR13
vBWM14,vBWML14,vBWMR14
vBWM15,vBWML15,vBWMR15
vBWM16,vBWML16,vBWMR16
vBWM17,vBWML17,vBWMR17
vBWM18,vBWML18,vBWMR18
vBWM19,vBWML19,vBWMR19
vBWM20,vBWML20,vBWMR20
vBWM21,vBWML21,vBWMR21
vBWM22,vBWML22,vBWMR22
vBWM23,vBWML23,vBWMR23
CEPshD,CEPshDL,CEPshDR
CEPshV,CEPshVL,CEPshVR
GLRD,GLRDL,GLRDR
GLR,GLRL,GLRR
GLRV,GLRVL,GLRVR
CAN,CANL,CANR
mu_int,mu_intL,mu_intR
CEMD,CEMDL,CEMDR
CEMV,CEMVL,CEMVR
MCM,MCML,MCMR
R1A,R1AL,R1AR
R1B,R1BL,R1BR
R2A,R2AL,R2AR
R2B,R2BL,R2BR
R3A,R3AL,R3AR
R3B,R3BL,R3BR
R4A,R4AL,R4AR
R4B,R4BL,R4BR
R5A,R5AL,R5AR
R5B,R5BL,R5BR
R6A,R6AL,R6AR
R6B,R6BL,R6BR
R7A,R7AL,R7AR
R7B,R7BL,R7BR
R8A,R8AL,R8AR
R8B,R8BL,R8BR
R9A,R9AL,R9AR
R9B,R9BL,R9BR
PHD,PHDL,PHDR
PCA,PCAL,PCAR
PCB,PCBL,PCBR
PCC,PCCL,PCCR
SPC,SPCL,SPCR
SPD,SPDL,SPDR
SPV,SPVL,SPVR
dgl1,dglL1,dglR1
dgl2,dglL2,dglR2
dgl3,dglL3,dglR3
dgl4,dglL4,dglR4
dgl5,dglL5,dglR5
dgl6,dglL6,dglR6
dgl7,dglL7,dglR7
aob,aobL,aobR
pob,pobL,pobR
gec,gecL,gecR
grt,grtL,grtR
cdl,cdlL,cdlR
ail,ailL,ailR
pil,pilL,pilR
pol,polL,polR
dsp,dspL,dspR
vsp,vspL,vspR
dsr,dsrL,dsrR
vsr,vsrL,vsrR
R1sh,R1shL,R1shR
R2sh,R2shL,R2shR
R3sh,R3shL,R3shR
R4sh,R4shL,R4shR
R5sh,R5shL,R5shR
R6sh,R6shL,R6shR
R7sh,R7shL,R7shR
R8sh,R8shL,R8shR
R9sh,R9shL,R9shR
